SIST_CRIA;NIV_TERR;COD_TERR;NOM_TERR;CL_GAL;NOM_CL_GAL;E_CRIA_GAL;E_TEM_GAL;E_GAL_VEND;E_OVOS_PROD;E_OVOS_VEND;E_SUBS;E_COMERC;E_RECEBE_ORI;E_ORI_GOV;E_ORI_PROPRIA;E_ORI_COOP;E_ORI_EMP_INT;E_ORI_EMP_PRIV;E_ORI_ONG;E_ORI_SIST_S;E_ORI_OUTRA;E_GAL_ENG;E_GAL_GALOS;E_GAL_POED;E_GAL_MATR;E_ASSOC_COOP;E_FINANC;E_FINANC_COOP;E_FINANC_INTEG;E_DAP;E_AGRIFAM;E_N_AGRIFAM;E_PRODUTOR;E_COOPERATIVA;E_SA_LDTA;E_CNPJ;GAL_TOTAL;GAL_ENG;GAL_GALOS;GAL_POED;GAL_MATR;GAL_VEND;V_GAL_VEND;Q_DZ_PROD;Q_DZ_VEND;V_Q_DZ_PROD;V_Q_DZ_VEND;A_TOTAL;A_PAST_PLANT;A_LAV_PERM;A_LAV_TEMP;A_APPRL;VTP_AGRO;RECT_AGRO;N_TRAB_TOTAL;N_TRAB_LACOS
4-Outro;GR;4;Sul;9;De 100.001 e mais;38;38;7;10;;;38;34;3;11;10;15;1;;;3;34;5;7;;22;19;5;;12;10;28;10;4;8;12;11.123.158;9.407.626;153.655;1.561.877;;5.285.985;8.514.214;19.576.607;;93.862.645;;5.759;111;13;891;1.615;123.500.866;28.618.585;1.626;70
4-Outro;GR;4;Sul;10;Total;380.336;379.917;10.117;311.212;16;98.481;281.855;179.602;58.688;37.759;62.255;54.688;8.161;347;764;6.401;881;306;406;19;136.885;111.805;35.816;3.386;159.146;314.057;66.279;199.984;22;303;1.637;38.279.310;21.542.560;277.825;2.997.542;73;36.253.265;70.097.878;141.006.296;91.829;637.572.237;279.213;13.355.844;1.823.446;167.524;4.653.993;1.892.925;35.762.008.107;28.972.035.860;1.018.553;892.253
4-Outro;GR;5;Centro-Oeste;0;Sem galinaceos em 30.09.2017;243;;91;243;;76;167;51;27;16;6;2;;1;1;1;;;;;23;25;2;;53;170;73;167;;1;1;;;;;;37.160;141.431;63.897;;487.398;;32.902;20.332;25;245;7.023;19.943.400;18.703.273;613;478
4-Outro;GR;5;Centro-Oeste;1;De 1 a 100;153.674;153.674;13.634;106.111;;47.626;106.048;30.307;8.602;15.414;5.151;1.041;831;98;543;1.181;;;;;18.318;23.172;1.997;56;33.474;104.010;49.664;111.751;35;229;665;6.505.484;;;;;490.849;10.921.947;25.852.109;;168.268.294;;37.320.181;16.606.017;92.723;2.589.810;9.565.389;22.779.610.208;21.147.628.871;460.108;342.216
4-Outro;GR;5;Centro-Oeste;2;De 101 a 200;7.957;7.957;1.814;6.111;;1.963;5.994;2.282;551;1.280;370;104;76;13;40;103;;;;;1.200;1.566;183;7;1.676;4.518;3.439;5.774;;34;67;1.226.230;;;;;189.669;4.043.252;3.595.468;;23.028.759;;4.558.928;1.777.130;8.398;468.635;1.290.982;3.628.712.469;3.434.429.514;33.129;20.269
4-Outro;GR;5;Centro-Oeste;3;De 201 a 500;668;668;260;547;23;156;512;249;76;147;18;16;9;;3;11;654;547;495;35;95;140;16;1;100;354;314;474;;6;17;214.725;160.368;6.840;47.386;131;103.405;1.921.252;584.303;45.273;3.899.731;365.671;748.720;201.698;1.667;83.082;320.953;523.810.672;502.762.139;4.556;2.828
4-Outro;GR;5;Centro-Oeste;4;De 501 a 1.000;53;53;26;40;1;9;44;22;6;13;2;;;;;1;49;40;40;3;5;10;;;13;28;25;39;;1;1;38.126;29.540;829;7.747;X;22.235;484.250;219.840;X;1.167.468;X;79.033;18.730;27;1.003;49.369;15.059.896;13.171.752;508;440
4-Outro;GR;5;Centro-Oeste;5;De 1.001 a 5.000;17;17;9;14;1;3;14;6;3;4;1;;;;;;15;11;15;1;3;2;1;;3;6;11;11;1;;2;29.920;17.690;1.134;11.092;X;15.200;349.250;38.664;X;292.730;X;8.607;2.446;1;4.205;717;23.297.271;21.534.686;485;100
4-Outro;GR;5;Centro-Oeste;6;De 5.001 a 10.000;6;6;2;3;;1;5;5;2;1;;2;;;;;6;1;3;;1;2;;;3;4;2;3;;;1;47.440;42.360;X;110;;X;X;560;;3.264;;630;252;6;104;163;996.279;733.910;81;17
4-Outro;GR;5;Centro-Oeste;7;De 10.001 a 50.000;42;42;2;4;;1;41;32;2;4;1;26;;;;1;38;3;4;;7;6;;1;14;23;19;20;;1;3;1.244.736;1.098.500;15.437;130.799;;X;X;1.629.283;;12.316.742;;2.122;340;5;519;455;16.127.558;3.581.060;231;98
4-Outro;GR;5;Centro-Oeste;8;De 50.001 a 100.000;25;25;1;5;;1;24;25;2;4;1;20;3;;;;20;4;5;;8;6;1;3;1;4;21;16;;1;1;1.790.750;1.436.622;30.846;323.282;;X;X;12.987.571;;80.957.792;;1.255;136;;113;222;82.244.394;1.132.102;299;34
4-Outro;GR;5;Centro-Oeste;9;De 100.001 e mais;22;22;3;5;;;22;22;;11;1;12;4;;;;19;1;5;;11;9;3;;1;4;18;17;;4;5;4.774.308;3.862.200;X;880.099;;1.253.317;8.119.193;15.022.804;;106.429.528;;13.430;604;0;10.412;1.443;188.034.619;73.326.880;546;36
4-Outro;GR;5;Centro-Oeste;10;Total;162.707;162.464;15.842;113.083;25;49.836;112.871;33.001;9.271;16.894;5.551;1.223;923;112;587;1.298;801;607;567;39;19.671;24.938;2.203;68;35.338;109.121;53.586;118.272;36;277;763;15.871.719;6.647.280;92.065;1.400.515;145;2.223.435;26.832.371;59.994.499;49.153;396.851.706;378.151;42.765.808;18.627.687;102.852;3.158.127;11.236.716;27.277.836.766;25.217.004.188;500.556;366.516
1-SIST_POC;UF;11;Rondonia;0;Sem galinaceos em 30.09.2017;14;;8;14;14;1;13;3;2;1;;;;;;;;;;;1;2;;;4;11;3;11;;;;;;;;;1.319;29.540;X;X;X;X;787;390;12;3;175;X;X;74;29
1-SIST_POC;UF;11;Rondonia;1;De 1 a 100;4.655;4.655;2.081;4.655;4.655;465;4.190;1.019;871;114;28;26;10;2;2;25;;;;;425;949;114;;2.001;3.918;737;2.472;;1;13;260.628;;;;;73.142;1.451.277;1.776.325;1.020.385;9.719.280;5.702.048;204.997;146.619;5.472;4.732;30.422;174.821.448;160.422.088;14.336;11.671
1-SIST_POC;UF;11;Rondonia;2;De 101 a 200;816;816;556;816;816;55;761;216;178;25;11;5;1;;;8;;;;;84;173;30;;357;651;165;478;;;2;127.154;;;;;46.495;947.834;504.895;368.332;2.895.410;2.152.990;55.941;31.022;1.437;1.586;6.846;42.842.659;39.759.964;2.684;2.126
1-SIST_POC;UF;11;Rondonia;3;De 201 a 500;71;71;50;71;71;11;60;18;12;5;;1;;;;1;62;60;59;;4;14;4;;22;57;14;44;;;;22.700;13.375;724;8.601;;9.828;203.815;159.513;111.966;913.353;641.190;3.553;2.132;187;61;563;3.634.594;3.016.520;212;163
1-SIST_POC;UF;11;Rondonia;4;De 501 a 1.000;12;12;8;12;12;;12;5;3;;;2;;;;;7;5;12;;2;5;;;7;9;3;6;;;1;X;4.017;29;X;;6.290;120.325;85.205;61.915;347.757;239.700;1.058;373;8;9;233;1.033.331;741.845;30;26
1-SIST_POC;UF;11;Rondonia;5;De 1.001 a 5.000;14;14;10;14;14;;14;6;3;3;;;;;;;7;2;13;;4;4;2;;9;11;3;9;;;1;35.420;8.140;X;27.220;;859.760;2.398.400;479.975;430.115;2.018.075;1.768.415;485;369;2;4;67;6.275.846;5.966.186;65;37
1-SIST_POC;UF;11;Rondonia;6;De 5.001 a 10.000;5;5;4;5;5;;5;3;2;;;;;;;1;1;;4;;2;2;;;1;5;;3;;;;39.000;X;;30.000;;11.200;122.000;924.725;865.325;5.817.453;5.591.733;X;185;2;;48;6.262.373;6.036.653;X;18
1-SIST_POC;UF;11;Rondonia;7;De 10.001 a 50.000;5;5;4;5;5;;5;3;2;2;;;;;;1;1;1;5;;2;4;1;;2;2;3;2;;;;89.000;X;X;88.397;;22.000;111.000;1.732.500;1.732.500;4.782.000;4.782.000;324;X;34;;220;4.965.800;4.965.800;37;15
1-SIST_POC;UF;11;Rondonia;8;De 50.001 a 100.000;1;1;1;1;1;;1;;;;;;;;;;;;1;;;1;1;;;;1;;;;;X;;;X;;X;X;X;X;X;X;X;X;;;X;X;X;X;X
1-SIST_POC;UF;11;Rondonia;9;De 100.001 e mais;3;3;1;3;3;;3;3;;3;;;;;;;;;3;;2;1;1;;;;3;1;;;1;538.880;;;538.880;;X;X;39.150.000;9.450.000;100.749.600;23.529.600;252;;;;X;101.049.600;23.829.600;93;X
1-SIST_POC;UF;11;Rondonia;10;Total;5.596;5.582;2.723;5.596;5.596;532;5.064;1.276;1.073;153;39;34;11;2;2;36;78;68;97;;526;1.155;153;;2.403;4.664;932;3.026;;1;18;1.187.715;35.132;816;763.985;;1.182.034;5.740.191;45.775.506;15.002.490;129.945.338;47.107.873;267.736;181.166;7.154;6.395;38.623;343.846.670;247.693.645;17.570;14.100
1-SIST_POC;UF;12;Acre;0;Sem galinaceos em 30.09.2017;11;;11;11;11;7;4;2;2;;;;;;;;;;;;;1;;;1;6;5;9;;;;;;;;;1.143;19.945;1.465;1.101;9.240;6.808;130;75;X;14;19;147.506;78.193;32;27
1-SIST_POC;UF;12;Acre;1;De 1 a 100;2.519;2.519;1.571;2.519;2.519;1.041;1.478;373;310;77;16;13;2;4;4;62;;;;;79;260;3;4;413;2.107;412;1.919;;;1;140.609;;;;;62.422;1.456.250;338.221;180.551;2.745.148;1.451.619;140.909;56.665;1.617;3.253;57.876;55.625.720;38.177.627;7.613;6.507
1-SIST_POC;UF;12;Acre;2;De 101 a 200;436;436;347;436;436;138;298;79;59;17;2;4;1;1;;1;;;;;23;76;;;130;360;76;304;;;2;68.182;;;;;29.811;723.651;128.161;79.343;1.047.850;649.022;26.931;13.957;489;844;7.996;17.652.440;13.669.188;1.576;1.176
1-SIST_POC;UF;12;Acre;3;De 201 a 500;137;137;109;137;137;34;103;32;23;7;2;1;;;;3;132;125;122;;12;19;;;38;105;32;85;;;;44.884;28.744;1.765;14.375;;23.665;531.910;76.499;60.076;578.340;448.131;10.796;4.764;128;235;2.334;7.910.836;6.804.436;519;410
1-SIST_POC;UF;12;Acre;4;De 501 a 1.000;15;15;15;15;15;;15;1;;1;;;;;;;14;14;15;;1;1;1;;6;14;1;9;;;2;10.460;6.871;X;3.159;;7.582;167.710;23.454;20.836;153.649;131.997;501;300;15;15;129;921.420;691.271;60;50
1-SIST_POC;UF;12;Acre;5;De 1.001 a 5.000;13;13;8;13;13;2;11;5;4;2;;;;;;1;7;7;11;;4;1;;;6;11;2;7;;;;28.250;9.862;1.788;16.600;;9.470;183.800;169.603;168.499;948.324;939.462;636;298;36;11;140;1.900.573;1.811.487;90;33
1-SIST_POC;UF;12;Acre;6;De 5.001 a 10.000;2;2;2;2;2;;2;2;1;1;;;;;;;2;;2;;1;1;;;;1;1;2;;;;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
1-SIST_POC;UF;12;Acre;7;De 10.001 a 50.000;4;4;4;4;4;;4;3;;3;;;;;;;1;1;4;;;;;;1;;4;3;;;1;80.000;X;X;62.000;;29.000;391.000;922.750;922.750;3.959.000;3.959.000;202;137;15;X;27;4.780.050;4.777.250;56;X
1-SIST_POC;UF;12;Acre;9;De 100.001 e mais;1;1;1;1;1;;1;1;1;;;;;;;;1;;1;;;1;;;;;1;;;1;1;X;X;;X;;X;X;X;X;X;X;X;X;;;X;X;X;X;
1-SIST_POC;UF;12;Acre;10;Total;3.138;3.127;2.068;3.138;3.138;1.222;1.916;498;400;108;20;18;3;5;4;67;157;147;155;;120;360;4;4;595;2.604;534;2.338;;1;7;506.385;117.357;7.983;172.254;;224.093;3.786.266;3.915.537;3.688.540;15.834.490;13.978.978;180.170;76.245;2.305;4.385;68.529;96.150.093;73.208.372;10.001;8.221
1-SIST_POC;UF;13;Amazonas;0;Sem galinaceos em 30.09.2017;60;;54;60;60;10;50;9;8;3;;;;;;;;;;;2;3;;;8;46;14;46;;;;;;;;;26.005;247.860;564.896;560.100;4.352.468;4.323.072;1.869;262;89;73;910;6.957.708;6.454.252;298;208
1-SIST_POC;UF;13;Amazonas;1;De 1 a 100;3.218;3.218;2.204;3.218;3.218;763;2.455;569;437;103;14;1;1;5;;26;;;;;118;259;6;;431;2.791;427;2.174;;;10;146.258;;;;;91.376;1.815.635;617.156;385.534;4.343.384;2.716.581;141.525;29.100;3.834;4.995;56.048;83.257.321;51.469.817;15.067;11.758
1-SIST_POC;UF;13;Amazonas;2;De 101 a 200;389;389;336;389;389;48;341;124;95;23;1;2;;6;;2;;;;;20;32;2;1;99;311;78;253;;;3;61.577;;;;;43.664;935.844;257.586;203.803;1.574.670;1.231.036;38.507;4.746;1.073;515;23.576;15.691.115;11.803.749;1.627;1.259
1-SIST_POC;UF;13;Amazonas;3;De 201 a 500;123;123;97;123;123;11;112;52;38;15;1;;;;1;1;95;64;97;;6;13;;;33;94;29;73;;;3;43.717;21.377;1.901;20.439;;29.460;630.110;293.591;220.811;1.752.640;1.295.326;4.736;493;341;116;2.226;6.934.891;5.482.334;585;394
1-SIST_POC;UF;13;Amazonas;4;De 501 a 1.000;55;55;43;55;55;1;54;28;20;6;;;1;;;1;37;21;47;;3;8;;;17;43;12;36;;;1;41.286;17.580;2.039;21.667;;42.658;793.370;223.003;203.872;1.164.620;1.036.718;2.897;241;95;51;1.501;3.386.371;2.920.641;267;176
1-SIST_POC;UF;13;Amazonas;5;De 1.001 a 5.000;82;82;37;82;82;3;79;55;32;26;;2;;;;2;28;19;80;;1;16;;;25;65;17;57;;;2;205.208;19.181;1.212;184.815;;52.127;851.533;2.329.909;2.190.825;11.910.979;11.304.209;1.548;87;127;35;765;15.192.009;14.455.070;400;233
1-SIST_POC;UF;13;Amazonas;6;De 5.001 a 10.000;16;16;10;16;16;;16;11;7;4;;;;;1;;6;2;14;;3;1;;;4;9;7;10;;;2;116.100;22.900;X;92.895;;24.840;227.250;1.431.605;1.399.527;6.162.422;5.985.539;399;43;16;4;250;6.807.537;6.422.971;81;43
1-SIST_POC;UF;13;Amazonas;7;De 10.001 a 50.000;18;18;10;18;18;;18;16;6;14;;;;;;;6;3;18;;1;2;;;5;3;15;14;;;;380.021;26.010;21;353.990;;77.550;225.350;7.042.054;7.038.002;23.991.070;23.977.234;702;;24;8;395;24.652.964;24.595.929;188;55
1-SIST_POC;UF;13;Amazonas;8;De 50.001 a 100.000;7;7;5;7;7;;7;7;2;5;;;;;;;5;1;7;;;2;;;1;;7;4;;;;524.280;67.600;X;456.675;;114.672;255.548;6.919.706;6.790.106;27.832.825;27.366.265;1.841;;151;1;383;28.438.323;27.931.763;171;19
1-SIST_POC;UF;13;Amazonas;9;De 100.001 e mais;4;4;3;4;4;;4;4;2;4;;;1;;;;3;;4;;;2;;;;;4;2;;;;1.405.000;390.000;;1.015.000;;1.015.000;2.428.500;19.906.219;18.053.718;83.188.962;76.603.180;187;;10;;119;86.011.862;79.426.080;854;12
1-SIST_POC;UF;13;Amazonas;10;Total;3.972;3.912;2.799;3.972;3.972;836;3.136;875;647;203;16;5;3;11;2;32;180;110;267;;154;338;8;1;623;3.362;610;2.669;;;21;2.923.447;564.648;5.483;2.145.481;;1.517.352;8.411.000;39.585.725;37.046.298;166.274.039;155.839.160;194.210;34.972;5.759;5.798;86.173;277.330.102;230.962.606;19.538;14.157
1-SIST_POC;UF;14;Roraima;0;Sem galinaceos em 30.09.2017;19;;18;19;19;11;8;3;1;;;;;;2;;;;;;3;;;;6;14;5;10;;;;;;;;;1.785;48.915;X;X;X;X;833;98;33;21;419;X;X;65;63
1-SIST_POC;UF;14;Roraima;1;De 1 a 100;909;909;573;909;909;416;493;144;87;37;4;2;5;;19;11;;;;;54;99;1;;197;705;204;618;;;6;52.427;;;;;29.894;822.333;202.529;116.568;1.874.293;1.093.943;83.749;11.884;1.298;1.846;46.643;23.322.645;17.290.924;3.554;2.805
1-SIST_POC;UF;14;Roraima;2;De 101 a 200;225;225;173;225;225;90;135;48;29;23;;;;;7;1;;;;;16;21;;;53;163;62;145;;;;35.204;;;;;20.880;465.015;138.984;65.007;1.293.088;609.478;32.636;5.317;290;453;17.810;9.937.903;7.664.161;968;696
1-SIST_POC;UF;14;Roraima;3;De 201 a 500;40;40;35;40;40;13;27;15;6;8;;1;;;1;1;39;36;33;;2;4;;;10;23;17;28;;;;12.689;8.644;X;3.492;;9.250;264.500;47.350;33.584;438.153;303.201;7.522;2.269;58;426;4.180;28.147.164;27.738.358;157;103
1-SIST_POC;UF;14;Roraima;4;De 501 a 1.000;9;9;9;9;9;3;6;4;3;1;;;;;;1;8;8;9;;1;2;;;2;7;2;5;;;;X;3.412;568;X;;6.190;125.235;25.006;24.180;223.182;217.725;501;87;16;X;117;549.606;535.639;X;25
1-SIST_POC;UF;14;Roraima;5;De 1.001 a 5.000;7;7;4;7;7;2;5;3;1;2;;;;;;;5;3;7;;1;;;;;6;1;4;;;1;10.770;2.850;582;7.338;;1.800;45.500;72.442;58.642;486.989;400.989;1.677;X;X;501;81;716.129;615.677;41;30
1-SIST_POC;UF;14;Roraima;6;De 5.001 a 10.000;1;1;;1;1;;1;;;;;;;;;;;1;1;;;1;;;1;1;;1;;;;X;;X;X;;;;X;X;X;X;X;X;X;X;;X;X;X;X
1-SIST_POC;UF;14;Roraima;7;De 10.001 a 50.000;5;5;3;5;5;;5;5;1;4;;;;;;;;;5;;;2;;;;1;4;4;;;;139.000;;;139.000;;15.500;175.000;932.880;932.880;6.637.815;6.637.815;835;350;;;121;6.812.815;6.812.815;64;11
1-SIST_POC;UF;14;Roraima;8;De 50.001 a 100.000;3;3;3;3;3;;3;3;;3;1;;;;;;;;3;;2;;;;;;3;2;;;;194.000;;;194.000;;70.000;696.000;1.698.200;1.698.200;6.850.920;6.850.920;X;;;;;7.546.920;7.546.920;92;X
1-SIST_POC;UF;14;Roraima;10;Total;1.218;1.199;818;1.218;1.218;535;683;225;128;78;5;3;5;;29;14;52;48;58;;79;129;1;;269;920;298;817;;;7;456.515;14.906;1.713;352.265;;155.299;2.642.498;3.285.964;3.095.964;18.554.440;16.850.904;127.897;20.120;1.708;3.274;69.372;78.273.361;69.372.419;4.981;3.741
1-SIST_POC;UF;15;Para;0;Sem galinaceos em 30.09.2017;37;;32;37;37;4;33;3;3;;;;;;;;;;;;1;6;;;6;29;8;21;;1;1;;;;;;X;X;X;X;X;X;2.376;1.747;53;29;177;X;X;143;118
1-SIST_POC;UF;15;Para;1;De 1 a 100;8.999;8.999;5.495;8.999;8.999;1.503;7.496;672;357;179;60;22;11;11;4;62;;;;;255;883;24;1;1.277;7.446;1.553;5.943;;;13;472.036;;;;;202.182;5.371.109;2.009.158;1.206.689;16.455.727;10.049.696;905.879;435.766;14.963;18.991;266.383;356.599.494;302.925.155;31.544;24.890
1-SIST_POC;UF;15;Para;2;De 101 a 200;1.456;1.456;1.149;1.456;1.456;162;1.294;218;110;80;16;4;4;4;2;17;;;;;51;181;6;1;237;1.113;343;993;;;8;221.196;;;;;99.733;2.644.831;723.038;521.513;5.908.709;4.340.011;249.139;128.058;2.617;3.017;83.511;113.342.313;94.550.220;6.318;4.534
1-SIST_POC;UF;15;Para;3;De 201 a 500;319;319;269;319;319;36;283;52;22;21;6;5;2;;;3;310;302;307;;14;36;4;;46;235;84;225;;;1;99.798;58.747;4.992;36.059;;58.967;1.378.826;2.898.818;2.177.137;17.824.387;13.371.579;48.488;26.411;1.165;848;14.083;46.902.356;38.959.553;1.370;970
1-SIST_POC;UF;15;Para;4;De 501 a 1.000;40;40;37;40;40;2;38;19;10;3;2;1;;1;2;2;38;35;36;;7;4;;;12;28;12;22;;;2;29.947;17.602;1.349;X;;28.050;557.470;209.409;171.579;1.408.805;1.102.120;4.835;984;161;71;2.057;3.463.632;2.908.892;192;106
1-SIST_POC;UF;15;Para;5;De 1.001 a 5.000;10;10;8;10;10;2;8;3;1;1;;;1;;;;8;2;7;;;1;;;4;8;2;6;;;3;X;13.470;X;12.541;;16.800;286.700;263.616;252.415;1.337.736;1.225.730;2.894;94;11;45;2.357;2.158.879;1.797.045;X;42
1-SIST_POC;UF;15;Para;6;De 5.001 a 10.000;2;2;2;2;2;;2;2;;2;;;;;;;;;2;;;;;;;1;1;2;;;;X;;;X;;X;X;X;X;X;X;X;;X;;X;X;X;X;X
1-SIST_POC;UF;15;Para;7;De 10.001 a 50.000;12;12;10;12;12;;12;12;3;6;;3;1;;;;3;;11;;;1;;;3;1;11;9;;;;362.000;29.000;;333.000;;271.500;2.127.300;5.480.290;5.380.290;18.686.065;18.186.065;799;5;153;126;84;21.630.345;21.130.345;240;35
1-SIST_POC;UF;15;Para;8;De 50.001 a 100.000;3;3;3;3;3;;3;2;;1;;1;;;;;1;1;3;;;;;;;;3;2;;;;248.000;X;X;228.000;;146.000;1.276.320;5.644.400;5.644.400;15.775.440;15.775.440;131;21;50;4;X;17.140.760;17.140.760;76;13
1-SIST_POC;UF;15;Para;9;De 100.001 e mais;4;4;3;4;4;;4;3;1;3;;;;;;;1;1;4;;;1;;;1;;4;4;;;;2.003.000;X;X;1.957.408;;303.000;1.098.000;50.035.700;50.029.700;181.343.952;181.315.152;X;12;X;;18;182.635.032;182.606.106;164;X
1-SIST_POC;UF;15;Para;10;Total;10.882;10.845;7.008;10.882;10.882;1.709;9.173;986;507;296;84;36;19;16;8;84;361;341;370;;328;1.113;34;2;1.586;8.861;2.021;7.227;;1;28;3.474.848;173.819;17.293;2.590.504;;1.136.772;14.927.566;67.557.056;65.642.457;260.145.220;246.611.654;1.214.665;593.098;19.187;23.133;368.677;746.806.654;664.709.419;40.124;30.723
1-SIST_POC;UF;16;Amapa;0;Sem galinaceos em 30.09.2017;2;;2;2;2;1;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;X;X;X;X;X;X;X;;X;;X;X;X;X;X
1-SIST_POC;UF;16;Amapa;1;De 1 a 100;165;165;122;165;165;44;121;36;35;3;1;;;1;3;3;;;;;15;11;;;44;121;44;113;;;;8.393;;;;;9.122;246.198;35.956;18.264;221.848;112.466;14.398;252;661;254;5.501;5.991.137;3.629.201;538;406
1-SIST_POC;UF;16;Amapa;2;De 101 a 200;47;47;42;47;47;13;34;12;10;2;;;;;;;;;;;4;5;;;17;32;15;38;;;;7.178;;;;;6.730;169.435;17.691;12.542;115.714;79.054;3.907;69;170;173;1.288;3.482.983;2.478.546;195;137
1-SIST_POC;UF;16;Amapa;3;De 201 a 500;8;8;7;8;8;4;4;3;3;;;;;;;;8;5;4;;;1;;;3;5;3;5;;;;X;X;255;365;;1.970;58.150;5.349;4.036;38.922;29.812;322;;8;X;X;371.792;241.122;39;31
1-SIST_POC;UF;16;Amapa;4;De 501 a 1.000;1;1;1;1;1;1;;;;;;;;;;;1;1;1;;;;;;;;1;1;;;;X;X;X;X;;X;X;X;X;X;X;X;;X;X;;X;X;X;X
1-SIST_POC;UF;16;Amapa;5;De 1.001 a 5.000;3;3;3;3;3;;3;1;1;;;;;;;;3;2;2;;1;1;;;1;2;1;2;;;;8.409;4.763;X;X;;13.910;64.450;16.800;16.800;86.400;86.400;159;;15;25;73;392.688;380.992;21;10
1-SIST_POC;UF;16;Amapa;10;Total;226;224;177;226;226;63;163;52;49;5;1;;;1;3;3;12;8;7;;20;18;;;65;160;66;160;;;;27.250;7.257;1.961;2.461;;32.032;545.483;77.076;52.917;469.864;314.677;20.106;321;862;465;7.396;10.832.779;7.223.251;800;590
1-SIST_POC;UF;17;Tocantins;0;Sem galinaceos em 30.09.2017;24;;21;24;24;4;20;1;;;;;;;1;;;;;;;2;;;5;20;4;22;;;;;;;;;2.348;65.545;4.642;3.192;35.630;24.231;3.357;1.389;49;45;1.567;932.582;717.198;60;52
1-SIST_POC;UF;17;Tocantins;1;De 1 a 100;7.299;7.299;4.662;7.299;7.299;2.426;4.873;1.104;793;249;63;5;7;2;31;69;;;;;153;1.092;16;2;1.970;5.910;1.389;4.970;1;1;13;399.586;;;;;166.115;5.111.250;2.256.135;1.043.312;18.024.440;8.689.147;924.793;283.130;7.308;17.189;207.354;241.599.789;188.030.461;21.161;17.447
1-SIST_POC;UF;17;Tocantins;2;De 101 a 200;1.069;1.069;884;1.069;1.069;309;760;224;155;49;6;4;1;;11;14;;;;;26;167;;;266;826;243;751;;;2;162.031;;;;;83.951;2.383.829;574.921;362.001;4.936.082;3.110.228;140.710;54.526;1.196;2.983;34.978;57.519.929;46.107.257;3.392;2.659
1-SIST_POC;UF;17;Tocantins;3;De 201 a 500;77;77;67;77;77;19;58;15;9;5;;;;;2;;76;63;63;;3;13;1;;18;57;20;43;1;;2;24.568;17.302;802;6.464;;15.973;447.552;79.894;63.781;645.227;521.951;7.792;3.270;48;152;1.791;5.853.480;5.091.555;268;162
1-SIST_POC;UF;17;Tocantins;4;De 501 a 1.000;15;15;13;15;15;3;12;6;4;1;1;;;;1;;14;10;12;;1;5;;;2;11;4;10;;;1;11.350;8.657;X;2.395;;19.760;637.000;19.342;18.624;184.721;178.140;1.133;X;X;53;498;1.561.871;1.322.505;73;X
1-SIST_POC;UF;17;Tocantins;5;De 1.001 a 5.000;1;1;1;1;1;;1;;;;;;;;;;1;1;1;;;;;;1;1;;;;;;X;X;X;X;;X;X;X;X;X;X;X;;X;;X;X;X;X;X
1-SIST_POC;UF;17;Tocantins;9;De 100.001 e mais;1;1;1;1;1;;1;1;;1;;1;;;;;1;;1;;1;;;;;;1;;;1;1;X;X;;X;;X;X;X;X;X;X;X;X;;;X;X;X;X;
1-SIST_POC;UF;17;Tocantins;10;Total;8.486;8.462;5.649;8.486;8.486;2.761;5.725;1.351;961;305;70;10;8;2;46;83;92;74;77;;184;1.279;17;2;2.262;6.825;1.661;5.796;2;2;19;1.664.358;407.744;1.107;693.890;;364.873;8.705.486;16.657.887;15.212.863;62.677.567;51.367.163;1.078.425;342.659;8.617;20.422;246.420;346.419.873;280.206.552;25.243;20.364
1-SIST_POC;UF;21;Maranhao;0;Sem galinaceos em 30.09.2017;17;;13;17;17;7;10;2;1;1;;;;;;;;;;;;3;;;6;14;3;11;;;;;;;;;936;20.917;1.510;1.087;10.964;7.934;205;X;13;X;X;240.493;182.780;57;40
1-SIST_POC;UF;21;Maranhao;1;De 1 a 100;7.703;7.703;4.883;7.703;7.703;3.808;3.895;419;228;112;22;8;5;2;14;46;;;;;56;973;15;;1.629;6.522;1.181;5.598;;1;9;363.868;;;;;132.089;3.262.149;973.154;497.942;7.764.980;3.985.968;357.710;97.911;11.389;14.188;74.063;125.496.075;88.115.521;27.327;20.522
1-SIST_POC;UF;21;Maranhao;2;De 101 a 200;620;620;495;620;620;239;381;78;40;25;4;1;1;;3;9;;;;;9;111;3;;203;485;135;406;;;3;96.061;;;;;47.148;1.307.228;258.490;138.570;2.018.629;1.119.482;41.068;14.758;299;1.548;9.165;24.196.357;18.842.486;2.510;1.710
1-SIST_POC;UF;21;Maranhao;3;De 201 a 500;71;71;61;71;71;16;55;12;4;8;;;;;;1;71;57;66;;2;13;;;21;60;11;52;;;;22.460;16.079;547;5.834;;16.599;448.752;42.016;32.381;314.279;239.053;28.516;19.788;89;128;3.652;3.718.820;3.295.518;390;219
1-SIST_POC;UF;21;Maranhao;4;De 501 a 1.000;11;11;9;11;11;1;10;3;1;3;;;;;;;9;5;9;;;5;;;4;7;4;7;;;;7.650;5.126;458;2.066;;6.170;163.950;17.425;14.461;141.112;118.320;1.393;373;X;231;98;2.100.747;1.963.145;69;25
