SIST_CRIA;NIV_TERR;COD_TERR;NOM_TERR;CL_GAL;NOM_CL_GAL;E_CRIA_GAL;E_TEM_GAL;E_GAL_VEND;E_OVOS_PROD;E_OVOS_VEND;E_SUBS;E_COMERC;E_RECEBE_ORI;E_ORI_GOV;E_ORI_PROPRIA;E_ORI_COOP;E_ORI_EMP_INT;E_ORI_EMP_PRIV;E_ORI_ONG;E_ORI_SIST_S;E_ORI_OUTRA;E_GAL_ENG;E_GAL_GALOS;E_GAL_POED;E_GAL_MATR;E_ASSOC_COOP;E_FINANC;E_FINANC_COOP;E_FINANC_INTEG;E_DAP;E_AGRIFAM;E_N_AGRIFAM;E_PRODUTOR;E_COOPERATIVA;E_SA_LDTA;E_CNPJ;GAL_TOTAL;GAL_ENG;GAL_GALOS;GAL_POED;GAL_MATR;GAL_VEND;V_GAL_VEND;Q_DZ_PROD;Q_DZ_VEND;V_Q_DZ_PROD;V_Q_DZ_VEND;A_TOTAL;A_PAST_PLANT;A_LAV_PERM;A_LAV_TEMP;A_APPRL;VTP_AGRO;RECT_AGRO;N_TRAB_TOTAL;N_TRAB_LACOS
2-SIST_POI;GR;4;Sul;7;De 10.001 a 50.000;299;299;103;212;189;1;298;280;34;76;53;197;2;;;3;12;202;10;299;119;113;31;3;95;90;209;155;5;43;59;8.465.524;206.208;534.253;84.828;7.640.235;13.663.929;47.449.437;100.695.686;80.722.725;300.123.418;229.084.844;11.418;1.205;130;3.079;2.682;373.737.627;298.284.098;2.580;602
2-SIST_POI;GR;4;Sul;8;De 50.001 a 100.000;95;95;61;50;44;;95;92;5;29;20;52;3;;;2;6;56;3;95;31;37;9;;15;10;85;47;1;24;27;6.733.220;244.369;425.002;69.015;5.994.834;11.196.376;78.042.205;55.479.550;50.920.454;147.486.166;129.280.445;6.337;403;10;1.284;1.118;248.394.637;228.670.136;1.915;161
2-SIST_POI;GR;4;Sul;9;De 100.001 e mais;70;70;40;41;31;;70;67;2;35;11;33;4;;;3;7;37;5;70;27;22;12;1;4;1;69;23;7;29;37;12.720.339;898.750;658.962;564.337;10.598.290;48.770.724;172.486.815;70.215.141;48.673.013;252.004.844;154.697.846;13.324;224;0;2.399;2.955;447.449.342;340.997.379;2.937;67
2-SIST_POI;GR;4;Sul;10;Total;1.147;1.147;568;922;689;93;1.054;802;164;238;194;379;24;3;1;22;590;922;413;1.147;458;377;112;11;440;613;534;589;15;101;135;28.665.637;1.452.896;1.674.255;766.460;24.772.026;73.881.841;301.267.885;232.799.960;185.585.580;718.446.386;527.118.193;54.219;5.772;613;15.835;9.841;1.162.994.575;944.281.685;9.769;2.601
2-SIST_POI;GR;5;Centro-Oeste;3;De 201 a 500;1.631;1.631;1.163;1.413;911;333;1.298;473;193;213;56;17;10;1;9;15;1.606;1.599;1.236;1.631;223;271;25;1;390;1.093;538;1.114;;5;16;515.427;289.757;19.735;86.970;118.965;267.905;6.316.753;1.456.519;779.792;9.251.551;4.826.220;641.994;313.787;2.473;55.326;168.013;486.637.962;461.422.619;7.649;5.510
2-SIST_POI;GR;5;Centro-Oeste;4;De 501 a 1.000;168;168;144;137;97;31;137;57;30;18;7;5;1;;;2;164;160;130;168;28;34;4;;33;117;51;109;;1;2;124.071;74.669;5.204;23.260;20.938;109.175;1.959.620;357.848;181.108;2.060.123;1.081.056;25.870;10.298;107;3.516;5.283;45.475.035;43.268.617;636;481
2-SIST_POI;GR;5;Centro-Oeste;5;De 1.001 a 5.000;44;44;34;38;29;4;40;20;5;12;2;2;;;1;1;42;40;32;44;9;6;2;;12;30;14;34;;1;3;86.978;X;2.021;17.872;14.360;74.116;1.623.676;394.831;327.970;2.908.949;2.454.970;174.820;68.376;124;484;97.357;61.140.765;59.735.698;423;145
2-SIST_POI;GR;5;Centro-Oeste;7;De 10.001 a 50.000;19;19;7;13;11;;19;19;2;5;1;11;1;;1;1;2;13;1;19;5;7;1;2;3;2;17;16;;1;3;750.770;X;44.850;X;641.420;2.618.000;20.026.400;7.032.943;5.661.333;28.802.202;20.450.932;2.484;749;;229;669;50.156.227;41.786.132;276;37
2-SIST_POI;GR;5;Centro-Oeste;8;De 50.001 a 100.000;12;12;4;9;7;;12;12;;7;2;6;1;;;;3;8;3;12;3;3;1;;;;12;9;;3;3;1.027.111;155.861;103.000;21.069;747.181;452.000;4.496.000;7.010.791;6.690.446;37.051.621;35.128.861;3.079;158;;50;649;42.493.221;40.324.661;257;16
2-SIST_POI;GR;5;Centro-Oeste;9;De 100.001 e mais;24;24;14;12;10;;24;23;;12;2;13;;;;;4;18;2;24;8;8;2;;1;;24;13;;9;10;5.664.369;365.894;345.335;X;4.598.870;33.894.582;109.059.476;22.827.973;15.953.081;88.032.524;45.880.723;10.214;1.030;97;133;3.497;198.106.214;155.954.412;1.507;29
