,COD_TERR,CL_GAL,E_GAL_VEND,E_OVOS_VEND,E_RECEBE_ORI,E_ORI_GOV,E_ORI_PROPRIA,E_ORI_COOP,E_ORI_EMP_INT,E_ORI_EMP_PRIV,E_ORI_ONG,E_ORI_SIST_S,E_ORI_OUTRA,E_GAL_ENG,E_GAL_GALOS,E_GAL_POED,E_GAL_MATR,E_ASSOC_COOP,E_FINANC,E_FINANC_COOP,E_FINANC_INTEG,E_DAP,E_N_AGRIFAM,E_COOPERATIVA,E_SA_LDTA,E_CNPJ
COD_TERR,1.0,0.029641171461379404,-0.05995372851498654,-0.12122399647041725,-0.04323372808141382,-0.019419423419689323,-0.0662025540012911,-0.06102080880600412,-0.030011184105172964,-0.05691856624809988,-0.07987468648474635,-0.11158475900780233,0.07645389972528388,-0.13101208162382327,-0.11957876302448443,-0.1002332806197883,0.040563949752542156,-0.039671712275593116,-0.026777119744500272,-0.011729360603629358,0.017687803218314663,-0.04144231469552139,-0.0752836753654392,-0.0933495202593105,-0.12435581758324592,-0.038751192127218205
CL_GAL,0.029641171461379404,1.0,-0.15375729761145904,-0.11538447100312915,-0.034047753061770096,-0.018045837071176785,-0.0065124537622306775,0.0062369656544134944,0.08440544199101964,0.06435640859178768,0.10230990028733447,0.07539975570606545,0.06377217263340769,0.09465285916352927,0.09291171291165862,0.03753801793680371,0.0625088883961449,-0.0019184889648443599,-0.08969275780877857,0.0157425763451711,0.00737137273930938,-0.0798519757808418,-0.048363651583393556,0.09179051243138998,0.10828455479732232,0.0235883154798766
E_GAL_VEND,-0.05995372851498654,-0.15375729761145904,1.0,0.6530721128326101,0.37307671745001536,0.04495641182710228,0.07821091942992245,-0.022143959825773763,0.09691029008560051,-0.11198284169767804,-0.17032585218328786,-0.15011980070744235,-0.1433526009330617,0.5974595320033975,0.43638123523337413,0.4696589844762872,0.6852845234771996,0.08238556718501654,0.22564200771521303,-0.052972098245848635,-0.08920660203571126,0.40538628976883234,0.3083794768015383,-0.029118696683801057,-0.06232002298344886,-0.04976514825505914
E_OVOS_VEND,-0.12122399647041725,-0.11538447100312915,0.6530721128326101,1.0,0.43645535439757016,0.08048943398429918,0.09677031992750985,-0.05374759682559316,-0.01792310599278992,-0.10473112843160991,-0.1420550317849836,-0.07687340843365995,-0.1294719768634287,0.4260581066481924,0.47982814866243645,0.5921946390226264,0.5766469525791207,0.11056719960673429,0.21847938154552635,-0.0476062220477126,0.0015692978557658049,0.40309473458928946,0.36641058986805236,0.04752666616323276,0.0618293240037568,0.003863081025236761
E_RECEBE_ORI,-0.04323372808141382,-0.034047753061770096,0.37307671745001536,0.43645535439757016,1.0,0.39286984049578794,0.2130104875337354,0.04548118270764085,0.12674112415558442,-0.11641794567064954,-0.15533765487865295,-0.13626360260619438,-0.1120657635704036,0.4746366081990049,0.24537703396971877,0.3111943123810608,0.41472485611449295,0.3387865081296173,0.5682622443648585,-0.08020797624485862,-0.11592413854019484,0.5425132349578347,0.48408343787290503,0.016724720411629194,-0.014956335345811105,0.022128974063383336
E_ORI_GOV,-0.019419423419689323,-0.018045837071176785,0.04495641182710228,0.08048943398429918,0.39286984049578794,1.0,0.5362620527744569,0.2965149197347804,0.0879438505015092,-0.06573538099069977,-0.15627401487815012,-0.1031155015790969,-0.0059263996347108825,0.1262680259613957,0.07882264894828056,0.10961517487119618,0.13648084529044882,0.3546834390215786,0.4720490552213717,0.16042897867759978,-0.09622368539183408,0.20127595493048636,0.34900775037218795,-0.02336408083192082,-0.04471934529033443,0.036367507469988236
E_ORI_PROPRIA,-0.0662025540012911,-0.0065124537622306775,0.07821091942992245,0.09677031992750985,0.2130104875337354,0.5362620527744569,1.0,0.370252971621089,0.2078669151390203,-0.02811012497190799,-0.0927149221206482,-0.11398758668411782,0.06740142171731485,0.1848610646080254,0.10810633284485016,0.17134150146063332,0.18156838151658866,0.4729788796867239,0.29684146151097807,0.30732438384810695,-0.10349848663293545,0.15226005239938187,0.281511338354949,-0.07594578412092416,-0.04095494413624619,0.15640218339477346
E_ORI_COOP,-0.06102080880600412,0.0062369656544134944,-0.022143959825773763,-0.05374759682559316,0.04548118270764085,0.2965149197347804,0.370252971621089,1.0,0.3728762358368098,0.058202397250253245,0.21739274892316154,-0.008741401923550492,0.30592754921365206,0.1441708532836294,0.09747327647469152,0.13569256852286657,-0.05619039431617865,0.3428425033852101,0.19556416022349524,0.26000574808592525,-0.08175435348129775,0.06968709317843884,0.09580509549139228,-0.011687666513177585,0.0679205455540199,0.21197645412092783
E_ORI_EMP_INT,-0.030011184105172964,0.08440544199101964,0.09691029008560051,-0.01792310599278992,0.12674112415558442,0.0879438505015092,0.2078669151390203,0.3728762358368098,1.0,0.19878593959472057,0.15016407328169692,0.11446984937299157,0.3146753205869149,0.3184345974739311,0.1496043898230328,0.09704732619517457,-0.06382014779286044,0.2008531923004236,0.1324062124110719,0.3852886175321944,-0.060660173370460806,0.07875391549860103,0.12176642160753166,0.05146054980774757,0.1813147684415801,0.2507996623143831
E_ORI_EMP_PRIV,-0.05691856624809988,0.06435640859178768,-0.11198284169767804,-0.10473112843160991,-0.11641794567064954,-0.06573538099069977,-0.02811012497190799,0.058202397250253245,0.19878593959472057,1.0,0.3292359643234746,0.5634826335059656,0.2672501078422317,0.17688455676180567,0.29818157353081265,0.265926179173457,-0.0957139948247923,-0.05654549678756734,-0.07808105863936482,0.14708996484215817,0.11217608340495837,-0.06697618435622447,-0.053106577947701926,0.42082726125024345,0.7175814549726214,0.37482290130353363
